,Country,Value
0,Afghanistan,27.3
1,Albania,7.1
2,Algeria,6.2
3,American Samoa,
4,Andorra,28.6
5,Angola,15
6,Antigua and Barbuda,10.5
7,Arab World,9.35781922525108
8,Argentina,35
9,Armenia,5.3
10,Aruba,
11,Australia,24.7
12,Austria,32.2
13,Azerbaijan,11.3
14,"Bahamas, The",20
15,Bahrain,2.5
16,Bangladesh,15.1
17,Barbados,13.3
18,Belarus,29.1
19,Belgium,34.7
20,Belize,6.7
21,Benin,7.2
22,Bermuda,
23,Bhutan,2.7
24,Bolivia,16.9
25,Bosnia and Herzegovina,14.3
26,Botswana,11.1
27,Brazil,8.8
28,Brunei Darussalam,
29,Bulgaria,22.1
30,Burkina Faso,11.7
31,Burundi,30.5
32,Cabo Verde,15.3
33,Cambodia,9.8
34,Cameroon,8.9
35,Canada,20.8
36,Caribbean small states,17.2464367816092
37,Cayman Islands,
38,Central African Republic,10.5
39,Central Europe and the Baltics,17.0997873245427
40,Chad,6.5
41,Channel Islands,
42,Chile,15
43,China,20.3
44,Colombia,8.4
45,Comoros,3
46,"Congo, Dem. Rep.",8.4
47,"Congo, Rep.",8.5
48,Costa Rica,38.6
49,Cote d'Ivoire,8.5
50,Croatia,21.7
51,Cuba,36
52,Curacao,
53,Cyprus,14.3
54,Czech Republic,15.5
55,Denmark,36.9
56,Djibouti,10.8
57,Dominica,12.9
58,Dominican Republic,19.7
59,East Asia & Pacific (all income levels),17.3472275074749
60,East Asia & Pacific (developing only),17.6312228828539
61,Ecuador,25
62,"Egypt, Arab Rep.",2
63,El Salvador,16.7
64,Equatorial Guinea,18
65,Eritrea,22
66,Estonia,18.8
67,Ethiopia,21.9
68,Euro area,23.0403712296984
69,Europe & Central Asia (all income levels),19.5395054945055
70,Europe & Central Asia (developing only),11.7261940979617
71,European Union,22.6045774162416
72,Faroe Islands,
73,Fiji,
74,Finland,38
75,Fragile and conflict affected situations,12.224341305229
76,France,12.2
77,French Polynesia,
78,Gabon,12.5
79,"Gambia, The",13.2
80,Georgia,9.4
81,Germany,31.6
82,Ghana,10.9
83,Greece,13
84,Greenland,
85,Grenada,26.7
86,Guam,
87,Guatemala,8.2
88,Guinea,19.3
89,Guinea-Bissau,14
90,Guyana,29
91,Haiti,2
92,Heavily indebted poor countries (HIPC),17.1080929243851
93,High income,20.7924041431946
94,High income: nonOECD,15.7487147071218
95,High income: OECD,22.1787906868991
96,Honduras,23.4
97,"Hong Kong SAR, China",
98,Hungary,10.4
99,Iceland,33.3
100,India,8.3
101,Indonesia,11.3
102,"Iran, Islamic Rep.",4.1
103,Iraq,25.5
104,Ireland,13.3
105,Isle of Man,
106,Israel,14.2
107,Italy,17.3
108,Jamaica,11.7
109,Japan,9.4
110,Jordan,5.5
111,Kazakhstan,10.4
112,Kenya,7.3
113,Kiribati,7.1
114,"Korea, Dem. People’s Rep.",20.1
115,"Korea, Rep.",13.4
116,Kosovo,
117,Kuwait,1.5
118,Kyrgyz Republic,0
119,Lao PDR,25.2
120,Latin America & Caribbean (all income levels),20.3485967857999
121,Latin America & Caribbean (developing only),20.0344063792085
122,Latvia,19
123,Least developed countries: UN classification,15.9448201244252
124,Lebanon,4.7
125,Lesotho,11.7
126,Liberia,12.5
127,Libya,7.7
128,Liechtenstein,24
129,Lithuania,24.8
130,Low & middle income,15.3743181381035
131,Low income,17.7434645115952
132,Lower middle income,11.9174285714286
133,Luxembourg,23.3
134,"Macao SAR, China",
135,"Macedonia, FYR",28.3
136,Madagascar,6.9
137,Malawi,13.6
138,Malaysia,9.1
139,Maldives,12
140,Mali,10.2
141,Malta,9.2
142,Marshall Islands,3
143,Mauritania,17.9
144,Mauritius,17.1
145,Mexico,22.6
146,"Micronesia, Fed. Sts.",0
147,Middle East & North Africa (all income levels),8.06238845144357
148,Middle East & North Africa (developing only),8.63830445544554
149,Middle income,14.710121656898
150,Moldova,21.8
151,Monaco,20.8
152,Mongolia,6.6
153,Montenegro,8.6
154,Morocco,10.8
155,Mozambique,34.8
156,Myanmar,
157,Namibia,26.9
158,Nepal,5.9
159,Netherlands,36.7
160,New Caledonia,
161,New Zealand,32.2
162,Nicaragua,15.2
163,Niger,12.4
164,Nigeria,6.1
165,North America,18.1654104979812
166,Northern Mariana Islands,
167,Norway,37.9
168,Not classified,
169,OECD members,21.1906950325312
170,Oman,2.4
171,Other small states,13.4000716332378
172,Pacific island small states,
173,Pakistan,21.3
174,Palau,0
175,Panama,16.7
176,Papua New Guinea,0.9
177,Paraguay,10
178,Peru,29.2
179,Philippines,15.3
180,Poland,20.4
181,Portugal,21.3
182,Puerto Rico,
183,Qatar,0
184,Romania,11.2
185,Russian Federation,9.8
186,Rwanda,48.8
187,Samoa,6.1
188,San Marino,11.7
189,Sao Tome and Principe,7.3
190,Saudi Arabia,0
191,Senegal,19.2
192,Serbia,12
193,Seychelles,29.4
194,Sierra Leone,14.5
195,Singapore,21.2
196,Sint Maarten (Dutch part),
197,Slovak Republic,20
198,Slovenia,12.2
199,Small states,12.7586303939963
200,Solomon Islands,0
201,Somalia,7.8
202,South Africa,32.8
203,South Asia,12.8561137440758
204,South Sudan,
205,Spain,36
206,Sri Lanka,4.9
207,St. Kitts and Nevis,0
208,St. Lucia,0
209,St. Martin (French part),
210,St. Vincent and the Grenadines,18.2
211,Sub-Saharan Africa (all income levels),16.6404764922063
212,Sub-Saharan Africa (developing only),16.5670233337631
213,Sudan,17.8
214,Suriname,25.5
215,Swaziland,10.8
216,Sweden,47.3
217,Switzerland,25
218,Syrian Arab Republic,12
219,Tajikistan,17.5
220,Tanzania,30.4
221,Thailand,8.7
222,Timor-Leste,25.3
223,Togo,8.6
224,Tonga,3.3
225,Trinidad and Tobago,19.4
226,Tunisia,22.8
227,Turkey,4.4
228,Turkmenistan,16
229,Turks and Caicos Islands,
230,Tuvalu,0
231,Uganda,29.8
232,Ukraine,8.7
233,United Arab Emirates,5
234,United Kingdom,19.7
235,United States,16.3
236,Upper middle income,16.9785771668303
237,Uruguay,11.1
238,Uzbekistan,17.5
239,Vanuatu,3.8
240,"Venezuela, RB",18
241,Vietnam,27.3
242,Virgin Islands (U.S.),
243,West Bank and Gaza,
244,World,16.9859355152563
245,"Yemen, Rep.",0.3
246,Zambia,14.6
247,Zimbabwe,16.7
248,,
249,,
250,,
251,Data from database: World Development Indicators,
252,Last Updated: 04/11/2016,
