,Country,Value
0,Afghanistan,27.3
1,Albania,16.4
2,Algeria,7.7
3,American Samoa,
4,Andorra,35.7
5,Angola,38.6
6,Antigua and Barbuda,10.5
7,Arab World,9.91258880994672
8,Argentina,38.5
9,Armenia,9.2
10,Aruba,
11,Australia,27.3
12,Austria,27.9
13,Azerbaijan,11.4
14,"Bahamas, The",12.2
15,Bahrain,2.5
16,Bangladesh,18.6
17,Barbados,10
18,Belarus,31.8
19,Belgium,38
20,Belize,0
21,Benin,10.8
22,Bermuda,
23,Bhutan,8.5
24,Bolivia,22.3
25,Bosnia and Herzegovina,19
26,Botswana,7.9
27,Brazil,8.8
28,Brunei Darussalam,
29,Bulgaria,20.8
30,Burkina Faso,15.3
31,Burundi,31.4
32,Cabo Verde,18.1
33,Cambodia,21.1
34,Cameroon,13.9
35,Canada,22.1
36,Caribbean small states,17.3731376975169
37,Cayman Islands,
38,Central African Republic,9.6
39,Central Europe and the Baltics,17.0580042462845
40,Chad,5.2
41,Channel Islands,
42,Chile,14.2
43,China,21.3
44,Colombia,8.4
45,Comoros,0
46,"Congo, Dem. Rep.",8.4
47,"Congo, Rep.",7.3
48,Costa Rica,36.8
49,Cote d'Ivoire,8.9
50,Croatia,23.5
51,Cuba,43.2
52,Curacao,
53,Cyprus,12.5
54,Czech Republic,15.5
55,Denmark,38
56,Djibouti,13.8
57,Dominica,14.3
58,Dominican Republic,19.7
59,East Asia & Pacific (all income levels),18.3737973522087
60,East Asia & Pacific (developing only),18.5010178901912
61,Ecuador,32.3
62,"Egypt, Arab Rep.",1.8
63,El Salvador,19
64,Equatorial Guinea,10
65,Eritrea,22
66,Estonia,22.8
67,Ethiopia,21.9
68,Euro area,25.4669981498612
69,Europe & Central Asia (all income levels),21.8942851942852
70,Europe & Central Asia (developing only),15.1383787017649
71,European Union,24.0258011277678
72,Faroe Islands,
73,Fiji,
74,Finland,40
75,Fragile and conflict affected situations,12.0011264822134
76,France,18.9
77,French Polynesia,
78,Gabon,14.7
79,"Gambia, The",7.5
80,Georgia,5.1
81,Germany,32.8
82,Ghana,8.3
83,Greece,17.3
84,Greenland,
85,Grenada,13.3
86,Guam,
87,Guatemala,12
88,Guinea,
89,Guinea-Bissau,10
90,Guyana,30
91,Haiti,4.1
92,Heavily indebted poor countries (HIPC),17.7197632058288
93,High income,22.4713626910209
94,High income: nonOECD,17.0535403726708
95,High income: OECD,23.9850185099491
96,Honduras,18
97,"Hong Kong SAR, China",
98,Hungary,11.1
99,Iceland,42.9
100,India,10.8
101,Indonesia,17.9
102,"Iran, Islamic Rep.",2.8
103,Iraq,25.5
104,Ireland,13.9
105,Isle of Man,
106,Israel,18.3
107,Italy,21.3
108,Jamaica,13.3
109,Japan,11.3
110,Jordan,6.4
111,Kazakhstan,17.8
112,Kenya,9.8
113,Kiribati,4.3
114,"Korea, Dem. People’s Rep.",15.6
115,"Korea, Rep.",14.7
116,Kosovo,
117,Kuwait,7.7
118,Kyrgyz Republic,25.6
119,Lao PDR,25.2
120,Latin America & Caribbean (all income levels),22.7116245831348
121,Latin America & Caribbean (developing only),22.6524926686217
122,Latvia,22
123,Least developed countries: UN classification,19.2834679520584
124,Lebanon,3.1
125,Lesotho,24.2
126,Liberia,12.5
127,Libya,7.7
128,Liechtenstein,24
129,Lithuania,19.1
130,Low & middle income,17.6179986543062
131,Low income,19.5697310513447
132,Lower middle income,13.8749833222148
133,Luxembourg,20
134,"Macao SAR, China",
135,"Macedonia, FYR",32.5
136,Madagascar,
137,Malawi,20.8
138,Malaysia,9.9
139,Maldives,6.5
140,Mali,10.2
141,Malta,8.7
142,Marshall Islands,3
143,Mauritania,22.1
144,Mauritius,17.1
145,Mexico,27.6
146,"Micronesia, Fed. Sts.",0
147,Middle East & North Africa (all income levels),8.79245867768595
148,Middle East & North Africa (developing only),9.09990822881615
149,Middle income,17.0372217102391
150,Moldova,23.8
151,Monaco,26.1
152,Mongolia,3.9
153,Montenegro,11.1
154,Morocco,10.5
155,Mozambique,39.2
156,Myanmar,
157,Namibia,26.9
158,Nepal,33.2
159,Netherlands,42
160,New Caledonia,
161,New Zealand,33.6
162,Nicaragua,20.7
163,Niger,9.7
164,Nigeria,7
165,North America,18.9970390309556
166,Northern Mariana Islands,
167,Norway,39.6
168,Not classified,
169,OECD members,23.3284225729908
170,Oman,0
171,Other small states,14.5135135135135
172,Pacific island small states,
173,Pakistan,22.2
174,Palau,0
175,Panama,8.5
176,Papua New Guinea,0.9
177,Paraguay,12.5
178,Peru,27.5
179,Philippines,21
180,Poland,20
181,Portugal,27.4
182,Puerto Rico,
183,Qatar,0
184,Romania,11.4
185,Russian Federation,14
186,Rwanda,56.3
187,Samoa,8.2
188,San Marino,16.7
189,Sao Tome and Principe,7.3
190,Saudi Arabia,0
191,Senegal,22.7
192,Serbia,21.6
193,Seychelles,23.5
194,Sierra Leone,13.2
195,Singapore,23.4
196,Sint Maarten (Dutch part),
197,Slovak Republic,18
198,Slovenia,14.4
199,Small states,13.4409290953545
200,Solomon Islands,0
201,Somalia,6.9
202,South Africa,44.5
203,South Asia,20.057301980198
204,South Sudan,
205,Spain,36.6
206,Sri Lanka,5.8
207,St. Kitts and Nevis,6.7
208,St. Lucia,11.1
209,St. Martin (French part),
210,St. Vincent and the Grenadines,21.7
211,Sub-Saharan Africa (all income levels),18.4685771744595
212,Sub-Saharan Africa (developing only),18.5549731526464
213,Sudan,18.9
214,Suriname,25.5
215,Swaziland,13.6
216,Sweden,46.4
217,Switzerland,29
218,Syrian Arab Republic,12.4
219,Tajikistan,17.5
220,Tanzania,30.7
221,Thailand,13.3
222,Timor-Leste,29.2
223,Togo,11.1
224,Tonga,3.1
225,Trinidad and Tobago,26.8
226,Tunisia,27.6
227,Turkey,9.1
228,Turkmenistan,16.8
229,Turks and Caicos Islands,
230,Tuvalu,0
231,Uganda,31.5
232,Ukraine,8
233,United Arab Emirates,22.5
234,United Kingdom,19.5
235,United States,16.8
236,Upper middle income,19.484195130345
237,Uruguay,14.1
238,Uzbekistan,22
239,Vanuatu,3.8
240,"Venezuela, RB",17.5
241,Vietnam,25.8
242,Virgin Islands (U.S.),
243,West Bank and Gaza,
244,World,19.0375155378065
245,"Yemen, Rep.",0.3
246,Zambia,14
247,Zimbabwe,15
248,,
249,,
250,,
251,Data from database: World Development Indicators,
252,Last Updated: 04/11/2016,
