,Country,Value
0,Afghanistan,27.7
1,Albania,7.1
2,Algeria,7.7
3,American Samoa,
4,Andorra,25
5,Angola,37.3
6,Antigua and Barbuda,10.5
7,Arab World,9.81092517332058
8,Argentina,40
9,Armenia,8.4
10,Aruba,
11,Australia,26.7
12,Austria,27.3
13,Azerbaijan,11.4
14,"Bahamas, The",12.2
15,Bahrain,2.5
16,Bangladesh,6.3
17,Barbados,10
18,Belarus,31.8
19,Belgium,35.3
20,Belize,0
21,Benin,10.8
22,Bermuda,
23,Bhutan,8.5
24,Bolivia,16.9
25,Bosnia and Herzegovina,11.9
26,Botswana,11.1
27,Brazil,9
28,Brunei Darussalam,
29,Bulgaria,21.7
30,Burkina Faso,15.3
31,Burundi,30.5
32,Cabo Verde,18.1
33,Cambodia,16.3
34,Cameroon,13.9
35,Canada,22.1
36,Caribbean small states,17.4860986547085
37,Cayman Islands,
38,Central African Republic,10.5
39,Central Europe and the Baltics,16.8061146496815
40,Chad,5.2
41,Channel Islands,
42,Chile,15
43,China,21.3
44,Colombia,8.4
45,Comoros,3
46,"Congo, Dem. Rep.",8.4
47,"Congo, Rep.",7.3
48,Costa Rica,36.8
49,Cote d'Ivoire,8.9
50,Croatia,20.9
51,Cuba,43.2
52,Curacao,
53,Cyprus,14.3
54,Czech Republic,15.5
55,Denmark,38
56,Djibouti,13.8
57,Dominica,18.8
58,Dominican Republic,19.7
59,East Asia & Pacific (all income levels),17.9953384250724
60,East Asia & Pacific (developing only),18.2417584121569
61,Ecuador,25
62,"Egypt, Arab Rep.",1.8
63,El Salvador,16.7
64,Equatorial Guinea,6
65,Eritrea,22
66,Estonia,20.8
67,Ethiopia,21.9
68,Euro area,24.9668829663963
69,Europe & Central Asia (all income levels),21.3502629393855
70,Europe & Central Asia (developing only),14.2482349265854
71,European Union,23.7433213990636
72,Faroe Islands,
73,Fiji,
74,Finland,41.5
75,Fragile and conflict affected situations,12.2067647659922
76,France,18.2
77,French Polynesia,
78,Gabon,16.7
79,"Gambia, The",9.4
80,Georgia,6
81,Germany,32.2
82,Ghana,7.9
83,Greece,14.7
84,Greenland,
85,Grenada,13.3
86,Guam,
87,Guatemala,12
88,Guinea,
89,Guinea-Bissau,10
90,Guyana,30
91,Haiti,4.1
92,Heavily indebted poor countries (HIPC),17.5948358998289
93,High income,21.939556561086
94,High income: nonOECD,16.4807867494824
95,High income: OECD,23.4662420382166
96,Honduras,23.4
97,"Hong Kong SAR, China",
98,Hungary,11.1
99,Iceland,33.3
100,India,9.1
101,Indonesia,11.6
102,"Iran, Islamic Rep.",2.8
103,Iraq,25.5
104,Ireland,13.3
105,Isle of Man,
106,Israel,14.2
107,Italy,21.3
108,Jamaica,13.3
109,Japan,9.4
110,Jordan,6.4
111,Kazakhstan,15.9
112,Kenya,9.8
113,Kiribati,4.3
114,"Korea, Dem. People’s Rep.",20.1
115,"Korea, Rep.",13.7
116,Kosovo,
117,Kuwait,3.1
118,Kyrgyz Republic,25.6
119,Lao PDR,25.2
